V= -2.58196003103202862405e+01 ,P= 3.73475339663458289579e+04
V= 2.35180399689679717312e+02 ,P= -1.70022634805010224227e+05
V= 2.36180399689679717312e+02 ,P= -1.70743649918970098952e+05
V= 2.37180399689679717312e+02 ,P= -1.71464594472043216228e+05
V= 2.38180399689679717312e+02 ,P= -1.72185466252531099599e+05
V= 2.39180399689679717312e+02 ,P= -1.72906262982202664716e+05
V= 2.40180399689679717312e+02 ,P= -1.73626982310383347794e+05
V= 2.41180399689679717312e+02 ,P= -1.74347621812994708307e+05
V= 2.42180399689679717312e+02 ,P= -1.75068178993506240658e+05
V= 2.43180399689679717312e+02 ,P= -1.75788651276254997356e+05
V= 2.44180399689679717312e+02 ,P= -1.76509036005407047924e+05
V= 2.45180399689679717312e+02 ,P= -1.77229330444562918274e+05
V= 2.46180399689679717312e+02 ,P= -1.77949531771197624039e+05
V= 2.47180399689679717312e+02 ,P= -1.78669637076842598617e+05
V= 2.48180399689679717312e+02 ,P= -1.79389643362076487392e+05
V= 2.49180399689679717312e+02 ,P= -1.80109547534698300296e+05
V= 2.50180399689679717312e+02 ,P= -1.80829346407885081135e+05
V= 2.51180399689679717312e+02 ,P= -1.81549036695029528346e+05
V= 2.52180399689679717312e+02 ,P= -1.82268615009791072225e+05
V= 2.53180399689679717312e+02 ,P= -1.82988077860182762379e+05
V= 2.54180399689679717312e+02 ,P= -1.83707421645892027300e+05
V= 2.55180399689679717312e+02 ,P= -1.84426642655569477938e+05
V= 2.56180399689679688890e+02 ,P= -1.85145737065434630495e+05
V= 2.57180399689679688890e+02 ,P= -1.85864700931791099720e+05
V= 2.58180399689679688890e+02 ,P= -1.86583530188834760338e+05
V= 2.59180399689679688890e+02 ,P= -1.87302220646445115563e+05
V= 2.60180399689679688890e+02 ,P= -1.88020767986592953093e+05
V= 2.61180399689679688890e+02 ,P= -1.88739167755576811032e+05
V= 2.62180399689679688890e+02 ,P= -1.89457415363705164054e+05
V= 2.63180399689679688890e+02 ,P= -1.90175506080163759179e+05
V= 2.64180399689679688890e+02 ,P= -1.90893435028498555766e+05
V= 2.65180399689679688890e+02 ,P= -1.91611197182035306469e+05
V= 2.66180399689679688890e+02 ,P= -1.92328787358536908869e+05
V= 2.67180399689679688890e+02 ,P= -1.93046200216888741124e+05
V= 2.68180399689679688890e+02 ,P= -1.93763430253048893064e+05
V= 2.69180399689679688890e+02 ,P= -1.94480471790991286980e+05
V= 2.70180399689679688890e+02 ,P= -1.95197318982023833087e+05
V= 2.71180399689679688890e+02 ,P= -1.95913965797714190558e+05
V= 2.72180399689679688890e+02 ,P= -1.96630406022706272779e+05
V= 2.73180399689679688890e+02 ,P= -1.97346633253176900325e+05
V= 2.74180399689679688890e+02 ,P= -1.98062640886649984168e+05
V= 2.75180399689679688890e+02 ,P= -1.98778422117430309299e+05
V= 2.76180399689679688890e+02 ,P= -1.99493969933443178888e+05
V= 2.77180399689679688890e+02 ,P= -2.00209277104306849651e+05
V= 2.78180399689679688890e+02 ,P= -2.00924336180177313508e+05
V= 2.79180399689679688890e+02 ,P= -2.01639139481812628219e+05
V= 2.80180399689679688890e+02 ,P= -2.02353679092688224046e+05
V= 2.81180399689679688890e+02 ,P= -2.03067946856181952171e+05
V= 2.82180399689679688890e+02 ,P= -2.03781934363849082729e+05
V= 2.83180399689679688890e+02 ,P= -2.04495632950959436130e+05
V= 2.84180399689679688890e+02 ,P= -2.05209033684524823911e+05
V= 2.85180399689679688890e+02 ,P= -2.05922127360141981626e+05
V= 2.86180399689679688890e+02 ,P= -2.06634904490552435163e+05
V= 2.87180399689679688890e+02 ,P= -2.07347355299317801837e+05
V= 2.88180399689679688890e+02 ,P= -2.08059469707608106546e+05
V= 2.89180399689679688890e+02 ,P= -2.08771237330675940029e+05
V= 2.90180399689679688890e+02 ,P= -2.09482647465169051429e+05
V= 2.91180399689679688890e+02 ,P= -2.10193689079317293363e+05
V= 2.92180399689679688890e+02 ,P= -2.10904350805300142383e+05
V= 2.93180399689679688890e+02 ,P= -2.11614620925363647984e+05
V= 2.94180399689679688890e+02 ,P= -2.12324487366247747559e+05
V= 2.95180399689679688890e+02 ,P= -2.13033937683482858120e+05
V= 2.96180399689679688890e+02 ,P= -2.13742959051687299507e+05
V= 2.97180399689679688890e+02 ,P= -2.14451538255532621406e+05
V= 2.98180399689679688890e+02 ,P= -2.15159661674341157777e+05
V= 2.99180399689679688890e+02 ,P= -2.15867315271183266304e+05
V= 3.00180399689679688890e+02 ,P= -2.16574484581059019547e+05
V= 3.01180399689679688890e+02 ,P= -2.17281154698146885494e+05
V= 3.02180399689679688890e+02 ,P= -2.17987310258120967774e+05
V= 3.03180399689679688890e+02 ,P= -2.18692935431387188146e+05
V= 3.04180399689679688890e+02 ,P= -2.19398013903479266446e+05
V= 3.05180399689679688890e+02 ,P= -2.20102528861597180367e+05
V= 3.06180399689679688890e+02 ,P= -2.20806462980179290753e+05
V= 3.07180399689679688890e+02 ,P= -2.21509798407111404231e+05
V= 3.08180399689679688890e+02 ,P= -2.22212516742478706874e+05
V= 3.09180399689679688890e+02 ,P= -2.22914599028407799779e+05
V= 3.10180399689679688890e+02 ,P= -2.23616025727402942721e+05
V= 3.11180399689679688890e+02 ,P= -2.24316776706933305832e+05
V= 3.12180399689679688890e+02 ,P= -2.25016831220560066868e+05
V= 3.13180399689679688890e+02 ,P= -2.25716167889651958831e+05
V= 3.14180399689679688890e+02 ,P= -2.26414764685705624288e+05
V= 3.15180399689679688890e+02 ,P= -2.27112598907485080417e+05
V= 3.16180399689679688890e+02 ,P= -2.27809647164516296471e+05
V= 3.17180399689679688890e+02 ,P= -2.28505885351229400840e+05
V= 3.18180399689679688890e+02 ,P= -2.29201288630797993392e+05
V= 3.19180399689679688890e+02 ,P= -2.29895831410423823399e+05
V= 3.20180399689679688890e+02 ,P= -2.30589487317147315480e+05
V= 3.21180399689679688890e+02 ,P= -2.31282229177584085846e+05
V= 3.22180399689679688890e+02 ,P= -2.31974028988963167649e+05
V= 3.23180399689679688890e+02 ,P= -2.32664857899990165606e+05
V= 3.24180399689679688890e+02 ,P= -2.33354686180433054687e+05
V= 3.25180399689679688890e+02 ,P= -2.34043483197157212999e+05
V= 3.26180399689679688890e+02 ,P= -2.34731217384743475122e+05
V= 3.27180399689679688890e+02 ,P= -2.35417856219186011003e+05
V= 3.28180399689679688890e+02 ,P= -2.36103366188700281782e+05
V= 3.29180399689679688890e+02 ,P= -2.36787712764183263062e+05
V= 3.30180399689679688890e+02 ,P= -2.37470860364113643300e+05
V= 3.31180399689679688890e+02 ,P= -2.38152772332081716741e+05
V= 3.32180399689679688890e+02 ,P= -2.38833410894010798074e+05
V= 3.33180399689679688890e+02 ,P= -2.39512737130590248853e+05
V= 3.34180399689679688890e+02 ,P= -2.40190710943269310519e+05
V= 3.35180399689679688890e+02 ,P= -2.40867291013682930497e+05
